ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-02,3811.80717,3496.435093596837,3920.56448974171,3811.80717,3811.80717,-114.38087235125349,-114.38087235125349,-114.38087235125349,-259.21134,-259.21134,-259.21134,-12.149051669988138,-12.149051669988138,-12.149051669988138,156.97951931873465,156.97951931873465,156.97951931873465,0.0,0.0,0.0,3697.4262976487466
2020-01-03,3809.2126906159015,3487.769834912021,3909.5357826289355,3809.2126906159015,3809.2126906159015,-102.09230915503244,-102.09230915503244,-102.09230915503244,-259.21134,-259.21134,-259.21134,-9.345641308406506,-9.345641308406506,-9.345641308406506,166.464672153374,166.464672153374,166.464672153374,0.0,0.0,0.0,3707.120381460869
2020-01-06,3801.4292524636057,3513.505040825879,3958.846418705175,3801.4292524636057,3801.4292524636057,-75.80655816306488,-75.80655816306488,-75.80655816306488,-259.21134,-259.21134,-259.21134,-13.50563160638356,-13.50563160638356,-13.50563160638356,196.91041344331865,196.91041344331865,196.91041344331865,0.0,0.0,0.0,3725.622694300541
2020-01-07,3798.834773079507,3506.046468177533,3954.5156051036793,3798.834773079507,3798.834773079507,-68.77269934778936,-68.77269934778936,-68.77269934778936,-259.21134,-259.21134,-259.21134,-16.729827186983254,-16.729827186983254,-16.729827186983254,207.1684678391939,207.1684678391939,207.1684678391939,0.0,0.0,0.0,3730.0620737317176
2020-01-08,3796.2402936954086,3523.7199116227216,3966.6272590388016,3796.2402936954086,3796.2402936954086,-55.08731425446817,-55.08731425446817,-55.08731425446817,-259.21134,-259.21134,-259.21134,-13.07259886303824,-13.07259886303824,-13.07259886303824,217.19662460857006,217.19662460857006,217.19662460857006,0.0,0.0,0.0,3741.1529794409403
2020-01-09,3793.64581431131,3526.3020144774314,3969.680944964005,3793.64581431131,3793.64581431131,-44.53277648433927,-44.53277648433927,-44.53277648433927,-259.21134,-259.21134,-259.21134,-12.14905166999878,-12.14905166999878,-12.14905166999878,226.8276151856595,226.8276151856595,226.8276151856595,0.0,0.0,0.0,3749.113037826971
2020-01-10,3791.0513349272114,3528.838356974591,3974.881642040976,3791.0513349272114,3791.0513349272114,-32.65518180607772,-32.65518180607772,-32.65518180607772,-259.21134,-259.21134,-259.21134,-9.345641308532082,-9.345641308532082,-9.345641308532082,235.9017995024544,235.9017995024544,235.9017995024544,0.0,0.0,0.0,3758.396153121134
2020-01-13,3783.2678967749157,3559.8401741343496,3992.3870847658964,3783.2678967749157,3783.2678967749157,-14.343087032280101,-14.343087032280101,-14.343087032280101,-259.21134,-259.21134,-259.21134,-13.50563160639074,-13.50563160639074,-13.50563160639074,258.37388457411066,258.37388457411066,258.37388457411066,0.0,0.0,0.0,3768.9248097426357
2020-01-14,3780.6734173908176,3542.665968434397,3984.9144437932937,3780.6734173908176,3780.6734173908176,-12.0465917148002,-12.0465917148002,-12.0465917148002,-259.21134,-259.21134,-259.21134,-16.729827186984142,-16.729827186984142,-16.729827186984142,263.894575472184,263.894575472184,263.894575472184,0.0,0.0,0.0,3768.6268256760172
2020-01-15,3778.078938006719,3553.833831596798,4002.6341134042327,3778.078938006719,3778.078938006719,-3.9966026457616035,-3.9966026457616035,-3.9966026457616035,-259.21134,-259.21134,-259.21134,-13.072598863048666,-13.072598863048666,-13.072598863048666,268.2873362172871,268.2873362172871,268.2873362172871,0.0,0.0,0.0,3774.0823353609576
