ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-29,6391.95407905935,6170.210570491647,6863.760505629875,6391.95407905935,6391.95407905935,131.7354020195598,131.7354020195598,131.7354020195598,-136.87806600000002,-136.87806600000002,-136.87806600000002,-6.526445277195278,-6.526445277195278,-6.526445277195278,275.13991329675514,275.13991329675514,275.13991329675514,0.0,0.0,0.0,6523.68948107891
2020-01-30,6383.603324580067,6167.49785344048,6885.243862627317,6383.603324580067,6383.603324580067,140.1097509982075,140.1097509982075,140.1097509982075,-136.87806600000002,-136.87806600000002,-136.87806600000002,-0.7850131650098008,-0.7850131650098008,-0.7850131650098008,277.7728301632173,277.7728301632173,277.7728301632173,0.0,0.0,0.0,6523.713075578275
2020-01-31,6375.2525701007835,6155.424032664839,6867.280151158751,6375.2525701007835,6375.2525701007835,139.00101305840226,139.00101305840226,139.00101305840226,-136.87806600000002,-136.87806600000002,-136.87806600000002,-5.5040916570543175,-5.5040916570543175,-5.5040916570543175,281.3831707154566,281.3831707154566,281.3831707154566,0.0,0.0,0.0,6514.253583159186
2020-02-03,6350.200306662934,6142.707449347306,6841.401787610114,6350.200306662934,6350.200306662934,148.85437131389935,148.85437131389935,148.85437131389935,-136.87806600000002,-136.87806600000002,-136.87806600000002,-12.082267290869252,-12.082267290869252,-12.082267290869252,297.8147046047687,297.8147046047687,297.8147046047687,0.0,0.0,0.0,6499.054677976834
2020-02-04,6341.849552183649,6169.250558686318,6868.861245976166,6341.849552183649,6341.849552183649,158.71580601381973,158.71580601381973,158.71580601381973,-136.87806600000002,-136.87806600000002,-136.87806600000002,-9.32172638421009,-9.32172638421009,-9.32172638421009,304.91559839802983,304.91559839802983,304.91559839802983,0.0,0.0,0.0,6500.565358197469
2020-02-05,6333.498797704367,6145.471280545959,6890.51703437121,6333.498797704367,6333.498797704367,169.22955884749453,169.22955884749453,169.22955884749453,-136.87806600000002,-136.87806600000002,-136.87806600000002,-6.526445277193053,-6.526445277193053,-6.526445277193053,312.63407012468764,312.63407012468764,312.63407012468764,0.0,0.0,0.0,6502.728356551861
2020-02-06,6325.148043225083,6134.4488074958945,6856.721392327879,6325.148043225083,6325.148043225083,183.15192821471956,183.15192821471956,183.15192821471956,-136.87806600000002,-136.87806600000002,-136.87806600000002,-0.785013164990428,-0.785013164990428,-0.785013164990428,320.81500737971,320.81500737971,320.81500737971,0.0,0.0,0.0,6508.299971439802
2020-02-07,6316.7972887458,6155.121968655009,6855.953069297817,6316.7972887458,6316.7972887458,186.90014791614868,186.90014791614868,186.90014791614868,-136.87806600000002,-136.87806600000002,-136.87806600000002,-5.50409165706555,-5.50409165706555,-5.50409165706555,329.2823055732142,329.2823055732142,329.2823055732142,0.0,0.0,0.0,6503.697436661949
2020-02-10,6291.74502530795,6133.975582755451,6868.427237488991,6291.74502530795,6291.74502530795,205.45642946101918,205.45642946101918,205.45642946101918,-136.87806600000002,-136.87806600000002,-136.87806600000002,-12.082267290889858,-12.082267290889858,-12.082267290889858,354.416762751909,354.416762751909,354.416762751909,0.0,0.0,0.0,6497.201454768969
2020-02-11,6283.394270828667,6138.476425800892,6875.669880508742,6283.394270828667,6283.394270828667,215.8030073523086,215.8030073523086,215.8030073523086,-136.87806600000002,-136.87806600000002,-136.87806600000002,-9.321726384240431,-9.321726384240431,-9.321726384240431,362.00279973654904,362.00279973654904,362.00279973654904,0.0,0.0,0.0,6499.197278180975
